Medicine 1,Medicine 2
FIBERLAX POWD.ORANGE 150G,Wesom (40mg) 30 Capsules
FIBER-ZEL TABS 250MG/30M 30,Sokast (10mg) 14 Tablets
FIBO POWD. 175G,Rivaj Whitening Milk Extract 100ml Face Wash
FIBO SACHETS GRAN 5G 10,Diclofen 50 (50mg) 20 Tablets
FIBO SACHETS GRAN 5G 12,Alfumet (150mg) 1 Capsules
FIBO SYRUP S.FREE 120ML,Dr. Koff 80 Lozenges Jar
FIBOZID VIAL INFUSIO 500MG 10ML,EasyCare Palm Support (M) Palm Braces
FIBROCOL GRAN 120G,Essom (20mg) 14 Capsules
FIBROCOL SACHETS GRAN 5G 10,Evening Primrose Oil 500 20 Softgels
FICOBAL AMP. 500Y 1ML 10,Rama-D (50mg/2ml) 5 Ampoule Injections
FICOBAL TABS 500Y 100,Baritec (20mg) 10 Tablets
FIEDIC JEL. 1% 20G,Zolpro (40mg) 1 Injection/Infusion
FIFEX TABS F.C. 120MG 10,Cefgard (50mg/ml) 15ml Oral Drops
FIFEX TABS F.C. 180MG 10,Hydromycin-B (0.05/0.1%) 15g Skin Ointment
FIFEX TABS F.C. 60MG 10,Zital (20mg) 14 Tablets
FILBONE TABS 150MG,Lotdis (5mg) 10 Tablets
FILGEN AMP. 300Y 1ML,Selxib (200mg) 10 Capsules
FINAROW TABS F.C. 1MG 30,Atvast (20mg) 100 Tablets
FINEGESIC TABS 100,IBulis (200mg/5ml) 90ml Suspension
FINEX CAPS 400MG 5,Unifyline Syp 120Ml
FINEX SUSP DRY 100MG 30ML,Qarshi Surficol Plus 60ml Syrup
FINEX SUSP DRY D.S 200MG 30ML,Hi-Gab (100mg) 10 Capsules
FINSET TABS 1MG 30,Oritide Plus (50mg/850mg) 28 Tablets
FIOFEN TABS 120MG 10,Ventolin (100mcg) 200 Actuations Evohaler
FIOFEN TABS 60MG 10,DV-Cipro (500mg) 10 Tablets
FIORE AMP IV 100MG 5ML 5,Taxim (250mg) 1 Vial Injection
FIORE SYRUP 120ML,Beurer (LB 20) Air Humidifier
FIORE-F TABS CHWE 30,Cip (250mg) 10 Tablets
FIRMOFOS TABS F.C. 10MG 10,Opsite Post - OP (9.5cm x 8.5cm) 20 Dressings
FIRMOFOS TABS F.C. 70MG 4,Pharmacal D ( 500mg/125IU) 100 Tablets
FISMIN SUSP DRY 250MG 60ML,Lipostat (10mg) 28 Tablets
FIST AMP. 75MG 3ML 5,Toprate (25mg) 30 Tablets
FIST EMULGEL 1% 20G,Depralin (50mg) 30 Tablets
FIST TABS C.E. 50MG 20,Comfy Insta 120ml Syrup
FIST TABS C.E. 75MG 20,Lotide (10mg) 14 Tablets
FIST TABS S.R 100MG 20,"Inoquin IV (200mg) 100ml, 1 Vial Infusion"
FITEM VIAL DRY 1G,Sure N Soft (XL) 10 Adult Diapers
FITEM VIAL DRY 250MG,Johnson's Baby Liner
FITEM VIAL DRY 500MG,Allergo (5mg/5ml) 60ml Syrup
FITOBID VIAL DRY 1G,Giozar-D (50/12.5mg) 20 Tablets
FITRAL TABS F.C. 40MG 14,Naxid (250mg/5ml) 60ml Suspension
FITZLOC TABS F.C. 250MG 10,Siena (Aqua Fantasy) 300ml Perfumed Hand Wash
FITZLOC TABS F.C. 500MG 10,Inzee (10mg) 10 Tablets
FITZLOC TABS F.C. 750MG 10,Naunehal Herbal 175ml Gripe Water
FIX CAPS 400MG 5,Parle 20-20 (RS 15) Biscuit
FIX SUSP DRY 100MG 30ML,Garnier (6.34-Natural Dark Red) Hair Colour
FIX SUSP DRY D.S 200MG 30ML,D3 (25mcg) 250 Softgels
FIXAGUT TABS F.C. 200MG 10,NEUFREEZE 2.5FLoz GEL
FIXAGUT TABS F.C. 550MG 10,Transamin (500mg) 20 Capsules
FIXEF CAPS 400MG 5,Azitma (500mg) 6 Tablets
FIXEF SUSP DRY 100MG 30ML,Hitra (550mg) 10 Teblets
FIXEF SUSP DRY D.S 200MG 30ML,Clear (0.3%) 15g Cream
FIXFAST TABS 60MG 10,Cystone 100ml Syrup
FIXICEF CAPS 400MG 5,Pain Lift (1%) 20g Cream
FIXICEF SUSP DRY 100MG 30ML,Ferlife (100mg) 20 Tablets
FIXICEF SUSP DRY D.S 200MG 30ML,Riscare (2mg) 10 Tablets
FIXIL CAPS 400MG 5,Strepsils Comfort (Honey & Lemon) 150 Lozenges
FIXIL SUSP DRY 100MG 30ML,Ora-E (5IU) 10ml Oral Drops
FIXIM CAPS 200MG 10,Anam (5mg) 20 Tablets
FIXIM CAPS 400MG 5,Nibovo (2.5mg) 30 Tablets
FIXIM SUSP DRY 100MG 30ML,Benzit (0.5/10mg) 100 Tablets
FIXIM SUSP DRY D.S 200MG 30ML,Folino Plus 15 Sachet
FIXIME CAPS 400MG 5,Opiril (75mg) 10 Tablets
FIXIRIN CAPS 400MG 5,Fungi-Rid (250mg) 10 Tablets
FIXIRIN SUSP DRY 100MG 30ML,Coferb (40mg/ml) 20ml Oral Drops
FIX-IT TABS F.C. 120MG 10,Sustac (6.4mg) 30 Tablets
FIX-IT TABS F.C. 60MG 10,GILLETTE BLUE 2 RAZOR
FIXITIL CAPS 400MG 5,Leflo (500mg) 10 Tablets
FIXITIL SUSP DRY 100MG 30ML,Wright's (with Coal Tar Fragrance) 125g Traditional Soap
FIXITIL SUSP DRY 100MG 60ML,DioPlus (5/80mg) 14 Tablets
FIXITIL SUSP DRY D.S 200MG 15ML,Ciprofena (0.3%) 5ml Eye Drops
FIXITIL SUSP DRY D.S 200MG 30ML,Uriguard (40mg) 20 Tablets
FIXITIL TABS F.C. 200MG 10,Goodcare 2 (Small) 48 Baby Diapers
FIXITIL TABS F.C. 200MG 5,Sunny D Stat (200000IU) 1 Softgel Capsule
FIXITIL TABS F.DS 400MG 5,Wencin (500mg) 10 Capsules
FIXVAL CAPS 400MG 5,Azibac (250mg) 10 Capsules
FIXVAL SUSP DRY 100MG 30ML,Keflex (125mg/5ml) 60ml Suspension
FIXVAL SUSP DRY 200MG 30ML,Econid (4mg) 20 Tablets
FIXZON CAPS 200MG 5,SunRays Smooth & Shine 120ml Shampoo
FIXZON CAPS 400MG 5,C-Vit (500mg) 30 Tablets
FIXZON SUSP DRY 100MG 30ML,Zespra (40mg) 14 Capsules
FIXZON SUSP DRY D.S 200MG 30ML,Comforta (10mg) 10 Tablets
F-LAC POWD MILK 300G,Novidat (250mg/5ml) 60ml Suspension
FLACET-N PLUS CREAM 30G,Somezol (20mg) 14 Capsules
FLAGYL PLUS SUSP 90ML,Covermed (6cm x 1m) Dressing
FLAGYL SUSP 200MG 120ML,Merpen (500mg) 1 Injection/Infusion
FLAGYL SUSP 200MG 90ML,Analon (Anti-Hemorrhoids) 60 Capsules
FLAGYL TABS F.C. 400MG 200,Labetalol (100mg) 20 Tablets
FLAGYL VIAL INFUSIO 500MG 100ML,Emidone (10mg) 30 Tablets
FLAMAZINE CREAM 50G,Nucal-M 30 Tablets
FLAMCAST AMP. 30MG 1ML 5,Clear (0.1%) 15g Cream
FLAMEX CAPS S.R. 100MG 30,"Vicryl 2-0 (VCP246H) 70cm, 31mm, 36 Sutures"
FLAMEX TABS 50MG 20,Bon D (400IU/500mg) 10 Tablets
FLAMEX TABS XR 100MG 30,Glimtide (2mg) 10 Tablets
FLAREN JEL. 1G 20G,Flexol (15mg) 12 Capsules
FLAREN TABS F.C. 25MG 30,Eporon (2000IU) 10 Vial Injection
FLARIZEN TABS F.C. 5MG 6,Lifebuoy (Ittar Protect ) 150g Soap
FLATOX INFUSION 500MG 100ML,Adlon De-Mal Acne 75g Soap
FLATRAN SYRUP 50ML,Mefnac (250mg) 100 Tablets
FLAZOL INFUSION IV 500MG 100ML,Lana (Marine) 500ml Hand Wash
FLECTIN CAPS 20MG 10,Enfexia (400mg) 5 Capsules
FLEET PLUS TABS F.C. 75MG/75M 30,Aglop (400mg) 5 Capsules
FLEET TABS F.C. 75MG 30,Prodex (300mg) 30 Tablets
FLEFIN TABS 100MG 30,Mecorize (500mcg) 10 Ampoule Injections
FLENCH AMP.IM/IV 500Y 1ML 10,Xytol (1g) 1 Vial Injection
FLENCH TABS 500Y 20,Nutrifactor Jointin-D 60 Tablets
FLEXAGIL TABS F.C. 10MG 10,Maclacin (250mg) 10 Tablets
FLEXAGIL TABS F.C. 5MG 10,Histalis (20mg) 10 Tablets
FLEXAMIN TABS 30,Fresh up (Elaichi) 36 Bubble Gum
FLEXAPLUS TABS 30,Wizen (3mg) 10 Tablets
FLEXAR TABS 450MG/35M 24,Cheetos Puffs (Ketchup) 14g Snack
FLEXECAP CREAM 25G,Virdi (250mg) 6 Tablets
FLEXERIL CAPS 400MG 5,Reach (Ultra Clean) ToothBrush
FLEXERIL SUSP DRY 100MG 30ML,Aloc (120mg) 10 Tablets
FLEXERIL SUSP DRY D.S 200MG 30ML,Tigelin (50mg) 1 Vial Injection
FLEXEZE CAPS 60,Impika (20mg) 20 Tablets
FLEXEZEN PLUS TABS 20,Terbizam (1%) 10g Cream
FLEXIA TABS F.C. 60MG 10,BioZin (Sun Active) (20mg/5ml) 100ml Oral Suspension
FLEXICOSE TABS F.C. 30,Reyan DS (200mg/5ml) 30ml Suspension
FLEXIFLOW TABS F.C. 75MG 20,Sefkin (100mg/2ml) 1 Injection
FLEXIN TABS 250MG 100,Novidat XR (500mg) 10 Tablets
FLEXIN TABS 250MG 20,Hiclor (500mg) 12 Capsules
FLEXIN TABS 500MG 20,Ciprocide (250mg) 10 Tablets
FLEXIPLUS TABS F.C. 75MG 10,Esodin (40mg) 14 Capsules
FLEXIPLUS TABS F.C. 75MG 20,Zapsel (10mg) 10 Tablets
FLEXITRAN AMP. 250MG 5ML 10,Rapid (40mg) 1 Vial Injection
FLEXITRAN AMP. 500MG 5ML 10,Btrol (500mg) 10 Capsules
FLEXODIN TABS 450MG/35M 100,Inflamatix SR (200mg) 10 Capsules
FLEXOSONE SPRAY NOSE 50Y 120,Mybacin Lozenges 10 Lozenges
FLEXOSONE SPRAY NOSE 50Y 7.5ML 60,Metronidazole (400mg) 21 Tablets
FLEXURA TABS C. 50MG 20,Apex 500ml Hand Sanitizer
FLEZOLE SUSP 200MG 60ML,F-Saf (400mg) 5 Capsules
FLEZOLE TABS F.C. 200MG 100,Trezo (500mg) 6 Tablets
FLIMIVIR CAPS 75MG 10,Neofit (M) Elbow Brace
FLIXONASE INHA 0.05% 120,Perfect Ankle Support (XL) Ankle Braces
FLIXOTIDE INHA 125Y 120,Levos (250mg) 10 Tablets
FLIXOTIDE INHA 250Y 120,Sweet Baby (8511) 250ml Baby Feeder
FLIXOTIDE INHA 50Y 120,Floralac 120ml Syrup
FLO TABS 20MG 20,Loreal Paris Elvive Dream Long (Straightening Keratin) 175ml Shampoo
FLOAID SACHETS GRAN 4MG 2G 14,Torate (25mg) 30 Tablets
FLOAID TABS CHWE 5MG 14,Domi (5mg/1ml) 10 Ampoule Injections
FLOAID TABS F.C. 10MG 14,Malcifer (50mg/5ml) 120ml Syrup
FLO-BERRY SACHETS 250MG 5.6G 10,Amodip-V (5/80mg) 14 Tablets
FLOCARD TABS 10MG 10,Ebak (20mg) 10 Tablets
FLOCARD TABS 20MG 10,Zeftrox (1g) 1 Vial Injection
FLOCIPRIN TABS F.C. 250MG 10,Pralzo (0.5mg) 30 Tablets
FLOCIPRIN TABS F.C. 500MG 10,Lifebuoy Anti-Dandruff 200ml Shampoo
FLOGESIC TABS 450MG/35M 20,BD PrecisionGlide (18G) 100 Needles
FLOGOCID CREAM 10G,Itowin (50mg) 10 Tablets
FLOGOCID CREAM 15G,Adacidol (0.5mcg) 30 Tablets
FLOGOCID CREAM 5G,Photoderm Max (SPF 100) 125ml SunBlock Cream
FLOGOCID OINT 15G,Linzy (600mg) 12 Tablets
FLOGOCID OINT 5G,Itraneu (100mg) 4 Capsules
FLOMETH DROPS EYE 0.25% 5ML,Pantofer 40 (40mg) 10 Tablets
FLONYCIN CREAM 30G,Oye Hoye (RS 50) Snack
FLOQUIN TABS F.C. 250MG 10,Dawn Cakeway (RS 30)
FLOQUIN TABS F.C. 500MG 10,"Selsun Blue (Normal to Oily, Anti-dandruff) 150ml Shampoo"
FLOQUNOIN CREAM 15G,Maxpan (100mg/5ml) 30ml Suspension
FLORAID CAPS 250MG 10,Urigo (80mg) 20 Tablets
FLORAID SACHETS 250MG 5G 10,Zotter (500mg) 3 Capsules
FLORAJEN CAPS 10,Esticef (250mg) 1 Vial Injection
FLORAL MOUTHWASH 150ML,Savoxacin (500mg) 10 Tablets
FLORALAC SYRUP 120ML,Durex (Extended Pleasure) 20 Condoms
FLORAMEX CAPS 2MG 20,Ototob (0.3%) 5ml Eye Drops
FLORET TABS 10MG 10,Mozter (400mg) 5 Tablets
FLORID TABS 50MG 10,Cipesta (250mg) 10 Tablets
FLORIF CAPS 500MG 12,Neo-Klar (125mg/5ml) 30ml Suspension
FLOROCIN INFUSION IV 200MG 100ML,Nivea Men Fresh Natural 200ml Body Spray
FLOROCIN TABS F.C. 250MG 10,Tiovair-F (18/12mcg) 30 Capsules
FLOROCIN TABS F.C. 500MG 10,Urgesin (10mg) 10 Tablets
FLOROCROM DROPS EYE 5ML,Novipraz (20mg) 10 Tablets
FLOROM DROPS EYE 0.1% 5ML,Valday (10/160mg) 14 Tablets
FLOROM-N DROPS EYE 5ML,Dove (Glowing Ritual) 250ml Shampoo
FLOROPTIC EYE SUSP 0.1% 5ML,Hi-Salz 75g Toothpaste
FLOROPTIC OINT EYE 3.5G,Ogate (0.2%) 5ml Eye Drops
FLOROZIL DROPS EYE 5ML,Atcopram (10mg) 14 Tablets
FLOSURE CAPS 0.4MG 20,Brufen (400mg) 250 Tablets
FLOTIN CAPS 20MG 10,Fexo (120mg) 10 Tablets
FLOURAMET DROPS EYE 1MG 5ML,"Titan-2000 (2000mg) 20ml, 1 Injection"
FLOURAMET DROPS EYE 2MG 5ML,Fucidin H (20/10mg) 15g Cream
FLOVIR TABS F.C. 250MG 10,Azogil (500mg) 6 Tablets
FLOVIT CAPS 30,Cor-Vit D (10000IU) 30 Tablets
FLOVIX TABS F.C. 200MG 10,Colgate Anticavity 50ml Baby Paste
FLOW DEX EURO INFUSION IV 10% 1000ML,CEFIA SYP DS 200MG 30ML
FLOW DEX EURO INFUSION IV 10% 500ML,Maxima (400mg) 5 Capsules
FLOW DEX EURO INFUSION IV 5% 1000ML,Fresh 15ml Eye Drops
FLOW DEX EURO INFUSION IV 5% 100ML,Seroxat CR (25mg) 30 Tablets
FLOW DEX EURO INFUSION IV 5% 500ML,Clofer (50mg) 30 Tablets
FLOW DEX SC INFUSION IV 10% 1000ML,Keplin (7.5mg) 20 Tablets
FLOW DEX SC INFUSION IV 10% 500ML,Winpride (50mg) 10 Tablets
FLOW DEX SC INFUSION IV 5% 1000ML,A-Gic (10mg) 10 Tablets
FLOW DEX SC INFUSION IV 5% 100ML,Samerol-N Forte (650/50mg) 10 Tablets
FLOW DEX SC INFUSION IV 5% 500ML,Co-Ziscar (10/12.5mg) 14 Tablets
FLOW DS 1/2 EURO INFUSION IV 0.45%/5% 50,Zoldap (400mg) 10 Tablets
FLOW DS 1/2 SC INFUSION IV 0.45%/5% 500M,Isotrexin (2/0.05%) 10g Topical Gel
FLOW DS 1/5 EURO INFUSION IV 0.18%/4.3 5,Loratine (10mg) 10 Tablets
FLOW DS 1/5 SC INFUSION IV 0.18%/4% 500M,Itsal (10mg) 14 Tablets
FLOW DS EURO INFUSION IV 0.9%/5% 1000ML,Genbet (0.05/0.1%) 15 Cream
FLOW DS EURO INFUSION IV 0.9%/5% 500ML,Antine (10mg) 14 Tablets
FLOW DS SC INFUSION IV 0.9% 1000ML,Zeecin (500mg) 3 Tablets
FLOW DS SC INFUSION IV 0.9% 500ML,Septran (80/400mg) 400 Tablets
FLOW MTZ EURO INFUSION IV 500MG 100ML,Tandegyl Tab 30s
FLOW NS EURO INFUSION IV 0.9% 1000ML,Fuskin-B (2/0.1%) 15g Cream
FLOW NS EURO INFUSION IV 0.9% 100ML,Lotenol (0.5%) 5ml Eye Drops
FLOW NS EURO INFUSION IV 0.9% 500ML,Melanoderm 150ml FaceWash
FLOW NS SC INFUSION IV 0.9% 1000ML,Butterfly Maxi Big Saver (L) 7 Pads
FLOW NS SC INFUSION IV 0.9% 100ML,Kinzole (40mg) 14 Tablets
FLOW NS SC INFUSION IV 0.9% 500ML,Brintellix (10mg) 14 Tablets
FLOW RL D EURO INFUSION IV 1000ML,Lastolip (20mg) 20 Tablets
FLOW RL D EURO INFUSION IV 500ML,Elspar (40mg) 10 Tablets
FLOW RL D SC INFUSION IV 1000ML,Zonlac (30mg/ml) 10 Ampoule Injections
FLOW RL D SC INFUSION IV 500ML,Eplarox-150 (150mg) 10 Tablets
FLOW RL EURO INFUSION IV 1000ML,Dygab (50mg) 14 Capsules
FLOW RL EURO INFUSION IV 500ML,Cironex (5mg) 14 Tablets
FLOW RL SC INFUSION IV 1000ML,Amphozole (150mg) 1 Capsule
FLOW RL SC INFUSION IV 500ML,Bepsar (50mg) 20 Tablets
FLOWMAX CAPS 0.4MG 10,Genixime (400mg) 5 Capsules
FLOWZAK CAPS 0.4MG 10,CAMOZYME 120ML SYP
FLOXA TABS F.C. 250MG 10,Buspar (10mg) 10 Tablets
FLOXA TABS F.C. 500MG 10,Smart Flamingo Knee Cap (S) Knee Braces
FLOXAC CAPS 20MG 10,Pantene (Smooth & Silky) 1000ml Shampoo
FLOXAC TABS 20MG 10,Genticyn (0.30% w/v) 7.5ml Eye-Ear Drops
FLOXASAN TABS F.C. 250MG 10,Calibin (0.25
FLOXASAN TABS F.C. 500MG 10,Neolexa (20mg) 14 Tablets
FLOXCIP TABS F.C. 250MG 10,Move Free Joint Health 120 Tablets
FLOXCIP TABS F.C. 500MG 10,Cortisporin 3g Eye Ointment
FLOXIN TABS 400MG 10,Cytamic (500mcg) 20 Tablets
FLOXITOL TABS 20MG 10,Famotid (40mg) 10 Tablets
FLOXOL TABS F.C. 200MG 10,Albopram (10mg) 14 Tablets
FLOXOLEV TABS F.C. 250MG 10,Pampers (XL) 10 Dry Diapers
FLOXOLEV TABS F.C. 500MG 10,Cibacin (250mg) 6 Tablets
FLOZEX CAPS 150MG,Cougar (5mg) 10 Tablets
FLOZID CAPS 400MG 5,Nubaquel (100mg) 10 Tablets
FLOZID SUSP DRY 100MG 30ML,Melfax (15mg) 10 Tablets
FLUACE SACHETS 30,Zenith (1mg) 30 Tablets
FLUACE SYRUP 120ML,F-100 (100mg) 30 Tablets
FLUACE TABS 30,Lamisil (250mg) 10 Tablets
FLUACT SACHETS 10,Ertuvia (5mg) 14 Tablets
FLUACT SYRUP 120ML,Tezole (200mg) 10 Tablets
FLUACT TABS 20,Hefixim (100mg/5ml) 30ml Suspension
FLUANXOL AMPS IM LA 40MG 2ML,Sitapin-Met (50/1000mg) 14 Tablets
FLUCATE AMP. 25MG 1ML,SB-Zol (40mg) 14 Tablets
FLUCIN CREAM 30G,Voltral (25mg) 20 Tablets
FLUCINATE LOTION 0.01% 120ML,Rumolon (20mg/ml) 4 Ampoule Injections
FLUCLOX CAPS 250MG 10,Viospan (100mg/5ml) 30ml Suspension
FLUCLOX CAPS 500MG 20,Famobex (40mg) 10 Tablets
FLUCOAIM TABS 150MG,Isotop (20mg) 10 Capsules
FLUCOL TABS 200,Nezkil (200mg) 100ml Infusion/Injection
FLUCON CAPS 150MG,Lipride-1 100 Tablets
FLUCON CAPS 200MG 4,Anzol (50mg/2ml) 5 Ampoule Injections
FLUCON CAPS 50MG 10,Seacal Plus 30 Tablets
FLUCON SUSP DRY 50MG 35ML,Ozix (250mg/ml) 60ml Suspension
FLUCORT DROPS EYE 0.1% 5ML,Eglocard (20mg) 10 Tablets
FLUCOVAL CAPS 150MG,Olivia (07-Mocca) Hair Colour
FLUDARA VIAL DRY IV 50MG 2ML 5,Palmolive Healthy & Smooth 180ml Shampoo
FLUDERM CAPS 150MG,Dove Nourishing Body Care 150ml Beauty Cream
FLUDERM CAPS 150MG 2,Orlis (120mg) 30 Capsules
FLUDERM CAPS 50MG 10,Articam (15mg) 10 Tablets
FLUEZE POWD. 40,Histafex (120mg) 10 Tablets
FLUEZE SACHETS GRAN 10,Febux (40mg) 20 Tablets
FLUEZE SYRUP 120ML,Radiom (40mg) 14 Capsules
FLUEZE SYRUP 60ML,Gutcare 10 Sachets
FLUEZE TABS 100,Xaradol (325/37.5mg) 10 Tablets
FLUGRA TABS F.C. 100MG 30,Dits (20mg) 30 Capsules
FLUIMUCIL GRAN. SACHET 100MG 28G 30,Smecta (3g) 30 Sachets
FLUIMUCIL GRAN. SACHET 200MG 28G 30,Valtan Plus (80/12.5mg) 14 Tablets
FLUKA CAPS 150MG,SLEEPING MASK (EW5)
FLUKA SUSP DRY 50MG 35ML,Efacurim (50mg/5ml) 5 Ampoule Injections
FLUMAG CAPS 150MG,Rabecid (10mg) 14 Tablets
FLUMED ELIXIR 60ML,Amprexa (5mg) 10 Tablets
FLUNAZ CAPS 150MG,Moflex (400mg) 5 Tablets
FLUNI SPRAY NOSE 0.25MG 15ML,Losaan (50mg) 20 Tablets
FLUNIL TABS 100,Biopex Biotin (2500/400mcg) 30 Tablets
FLUOROBIOPTAL DROPS EYE 5ML,Xenglu-Met (5/1000mg) 14 Tablets
FLUOROPOS DROPS EYE 5ML,Zincat-OD (20mg/5ml) 60ml Syrup
FLUPENSCOT AMP. 40MG 1ML,Ranulcid (150mg) 10 Tablets
FLUR TABS 100MG 30,Artemex-L DS (40/250mg) 8 Tablets
FLURBIZAN TABS F.C. 100MG 30,Espra (40mg) 1 Vial Infusion
FLURFIN TABS 30,Tansidin (120mg) 10 Tablets
FLURIP TABS F.C. 100MG 30,Hep-52 DS 60 Tablets
FLURIP TABS F.C. 50MG 30,Azithro (250mg) 6 Tablets
FLUROFEN TABS F.C. 100MG 30,Milk Thistle Liver Formula 100 Capsules
FLUROZINE EYE SUSP 5ML,Strike (150mg) 10 Tablets
FLURULZ CAPS 150MG,Brecare (5mg) 14 Tablets
FLURWOOD TABS DISP. 100MG 30,Forhan's 70g Toothpaste
FLUSAID TABS F.C. 100MG 30,Clinthro (200mg/5ml) 15ml Suspension
FLUSALINE SPRAY NOSE 30ML,Fexo (180mg) 10 Tablets
FLUSTAL CAPS 250MG 20,Espidone (4mg) 30 Tablets
FLUSTAL CAPS 500MG 20,Reglan (10mg) 40 Tablets
FLUSTAL SUSP DRY 250MG 45ML,Volvocef (500mg) 12 Capsules
FLUSTAL SUSP DRY 250MG 60ML,Amoxi Clav (1.2g) 1 Vial Injection
FLUTAMIDA TABS 250MG 60,Evozid (500mg) 1 Injection
FLUTET DROPS EYE 5ML,Sinova-M (50/500mg) 10 Tablets
FLUTICAMAX CREAM 0.05% 10G,Zopalet (10mg) 20 Tablets
FLUTICAMAX LOTION 0.05% 20ML,Wincuss (800mg/15ml) 120ml Syrup
FLUTIDERM CREAM 10G,Duron (20mg) 10 Capsules
FLUTIDERM OINT 10G,Itiosave (50mg) 10 Tablets
FLUTINATE OINT 0.005% 10G,De-Mal 175ml Face Wash
FLUTIZAF SPRAY NOSE 50Y 10ML 120,Lomani (Pour Homme) 250ml Body Spray
FLUX CAPS 20MG 14,Tyro-Nase 20g Cream
FLUXAQUIN TABS F.C. 400MG 5,IreCon (75mg) 10 Tablets
FLU-Z CAPS 150MG,Artic (550mg) 20 Tablets
FLU-Z SUSP DRY 50MG 35ML,Safcor (2.5mg) 14 Tablets
FLUZIC CAPS 150MG,Zolfenac (50mg/200mcg) 20 Tablets
FLYTRO CREAM 15G,NeoFit (L) Abdominal Belt
FLYTRO CREAM 30G,Colgate Herbal Stronger Healthier Teeth Naturally 100g Toothpaste
FLYZOL SUSP 200MG 120ML,Diabin (500mg) 100 Tablets
FLYZOL SUSP 200MG 60ML,Dapakan (500mg) 100 Tablets
FOCALIN DROPS EYE 5ML,Qusel (25mg) 30 Tablets
FOCIN CAPS 500MG 10,Fenbro 8 (200mg/5ml) 90ml Suspension
FOCIN SUSP 250MG 60ML,Johnson's 64 Baby Wipes
FOCIN SUSP DRY D.S 500MG 60ML,Atcomid (50mg) 14 Tablets
FOCIN ULTRA SACHETS 3G,Ampiclox (250mg) 100 Capsules
FOCIN VIAL DRY IM 1G 5ML,Dzire (Ribbed & Dotted) 3 Condoms
FOCIN VIAL DRY IV 1G 5ML,Zanoc (50mg/5ml) 35ml Suspension
FOL Q TABS 300Y 30,Diritis (50mg) 30 Capsules
FOL Q TABS 600Y 30,Pregax (75mg) 14 Capsules
FOLACE TABS F.C. 400Y 30,Acnes 75g Bar
FOLACTA TABS 400Y 30,Vorif (50mg) 10 Tablets
FOLANZA CAPS 25MG/3M 30,Bona Papa (XL) Junior 64 Baby Diapers
FOLANZA CAPS 25MG/6M 30,Neugast (200mg) 14 Capsules
FOLDINE SYRUP 120ML,ECP (0.75mg) 2 Tablets
FOLIB TABS F.C. 30,Neofit (XL) Spinal Brace
FOLIC ACID DAVIS TABS 30,Ecloprost (50/0.2mg) 20 Tablets
FOLIC ACID TABS 400Y 60,Hypercor (5mg) 100 Tablets
FOLIC ACID TABS 5MG 100,Scipride (25mg) 30 Tablets
FOLIC ACID TABS 5MG 100,Nosetine (10mg) 10 Tablets
FOLIC ACID TABS 5MG 100,Doxolin (100mg/5ml) 60ml Syrup
FOLIC ACID TABS 5MG 100,Escilam (20mg) 14 Tablets
FOLIC ACID TABS 5MG 1000,Prescot (100mg) 14 Capsules
FOLIC ACID TABS 5MG 1000,Phenotone (20mg/5ml) 60ml Elixir
FOLIC ACID TABS 5MG 1000,Niglys SR (2.6mg) 30 Capsules
FOLICA PLUS CAPS SOFT 1000Y/600 30,Ryxon (500mg) 1 Vial Injection
FOLIDAY TABS 400Y 30,Clarion (250mg) 10 Tablets
FOLIDAY TABS 600Y 30,X-Fix (400mg) 5 Capsules
FOLIFE TABS F.C. 400Y 30,Omron M2 (Basic) Automatic Blood Pressure Monitor
FOLIFOL TABS 400Y 30,Diclomin (0.1%) 5ml Eye Drops
FOLIFORT TABS F.C. 20,Mynex (250mg) 10 Tablets
FOLIFT TABS 300Y 30,Metavate (0.1%) 5g Skin Ointment
FOLIFUR SYRUP 60ML,Hide & Seek (RS 15) Biscuit
FOLIFUR TABS CHWE 20,Astexone (1g) 1 Injection
FOLINEO TABS F.C. 300Y 30,Beurer (BM 20) Upper Arm Blood Pressure Monitor
FOLINEO TABS F.C. 600Y 30,Clarin (250mg) 10 Tablets
FOLINIS VIAL DRY 150IU,"Oxytocin (5IU/ml) 50ml, 1 Vial Injection"
FOLINIS VIAL DRY 75IU,Lux (White Impress) 145g Soap
FOLINO PLUS SACHETS 15,Betagent (0.05/0.1%) 15g Cream
FOLINO SACHETS 10,Pegalin (75mg) 14 Capsules
FOLINO SACHETS 15,"Nikal (500mcg) 1ml, 10 Ampoule Injections"
FOLITAB TABS 5MG 100,"Pcam (20mg) 1ml, 5 Ampoule Injections"
FOLITOZ-F TABS CHWE 10,Ludiomil (25mg) 30 Tablets
FOLIVANT TABS F.C. 400Y 30,Pegalin (300mg) 14 Capsules
FOLLINOX SOL. TOPICAL 2% 60ML,Empaa (25mg) 14 tablets
FOLLINOX SOL. TOPICAL 5% 60ML,Eseft (40mg) 14 Capsules
FOLLITROPE SYRINGE PREF 150IU 1ML,Adalin (Cough Expectorant) 120ml Syrup
FOLLITROPE SYRINGE PREF 225IU 1ML,Gem-Ton (20mg) 14 Capsules
FOLLITROPE SYRINGE PREF 300IU 1ML,Zanxim (400mg) 5 Capsules
FOLLITROPE SYRINGE PREF 75IU 1ML,Gemi (320mg) 7 Tablets
FOLSAC SACHETS 10G 10,"Nature'S Bounty Vitamin D3 250mcg(10,000IU) 72 Capsules"
